"any.location","any.state","any.both_sexes_2012","any.females_2012","any.males_2012"
"Marin County","California",72.7,69.1,76.5
"Sonoma County","California",67.3,62.7,72.2
"Nevada County","California",66.6,62.8,70.6
"El Dorado County","California",65.9,61.5,70.5
"San Francisco County","California",65.7,59.9,71.8
"Napa County","California",65.2,58.2,72.4
"Plumas County","California",63.9,59.4,68.6
"San Mateo County","California",63.8,57.7,70.2
"Santa Cruz County","California",63.8,58.1,69.7
"Contra Costa County","California",63.4,57.8,69.2
"San Luis Obispo County","California",63.3,58.6,68.1
"Placer County","California",63.2,58.9,67.7
"Amador County","California",62.4,59.3,65.5
"Mendocino County","California",62.4,57.4,67.6
"Mono County","California",62.4,57.3,67.8
"Yolo County","California",62.4,55.2,69.8
"Humboldt County","California",62.3,58.1,66.7
"Trinity County","California",61.8,57.5,66.4
"Alpine County","California",61.4,59.9,63
"Calaveras County","California",60.6,56.2,65.3
"Sierra County","California",60.6,55.9,65.4
"San Diego County","California",60.5,53.6,67.7
"Modoc County","California",60.3,55.4,65.4
"Santa Barbara County","California",60.1,52.2,68.3
"Ventura County","California",60,53.3,66.9
"Alameda County","California",59.8,54.4,65.3
"Mariposa County","California",59.5,55.1,64
"Orange County","California",59.3,52.6,66.2
"Santa Clara County","California",58.7,51.7,65.9
"Inyo County","California",58.6,52.5,64.9
"Siskiyou County","California",58.5,53,64.2
"Butte County","California",58.4,51.8,65.3
"Tuolumne County","California",58.3,54.9,61.9
"Solano County","California",58,51.9,64.3
"Lassen County","California",57.8,55.4,60.3
"Lake County","California",57.3,50.4,64.5
"Sacramento County","California",57.2,52.2,62.4
"Tehama County","California",57.1,50.4,64.1
"Shasta County","California",56.9,51.2,62.8
"California","California",56.5,49.4,63.8
"Colusa County","California",54.7,44.5,65.3
"San Benito County","California",54.6,44.7,64.9
"Riverside County","California",54.4,46,63.1
"Yuba County","California",54.4,45.7,63.4
"Del Norte County","California",54.2,49.6,59.1
"Glenn County","California",54.1,45.1,63.4
"Monterey County","California",53.2,44.4,62.3
"Los Angeles County","California",52.9,45.4,60.7
"Sutter County","California",52.4,43.9,61.1
"San Joaquin County","California",51.9,43.2,61
"Stanislaus County","California",50.5,41.9,59.3
"San Bernardino County","California",50.4,41.9,59.3
"Kings County","California",49.2,41.2,57.6
"Madera County","California",48.6,38.8,58.8
"Kern County","California",46.9,38.4,55.8
"Merced County","California",46.5,37.1,56.2
"Fresno County","California",46.2,37.7,55
"Tulare County","California",45.5,35.4,56
"Imperial County","California",43.9,31.1,57.2
