"any.location","any.state","any.both_sexes_2005","any.females_2005","any.males_2005"
"San Juan County","Washington",73.3,69.5,77.4
"Jefferson County","Washington",68.9,64.2,73.9
"King County","Washington",66,61.1,71.2
"Island County","Washington",65,59.3,70.9
"Whatcom County","Washington",63.4,58,69
"Thurston County","Washington",61.9,56.4,67.6
"Kitsap County","Washington",61.6,55.7,67.6
"Kittitas County","Washington",61.6,56,67.5
"Spokane County","Washington",61.4,56,67
"Washington","Washington",61,55.2,66.9
"Clallam County","Washington",60.7,54.8,66.8
"Snohomish County","Washington",60.4,54.2,66.8
"Whitman County","Washington",60,53.2,67
"Skamania County","Washington",59.9,53.7,66.4
"Clark County","Washington",59.6,55,64.3
"Mason County","Washington",59.6,53.8,65.7
"Lincoln County","Washington",59.2,52.6,66
"Skagit County","Washington",59.2,53.3,65.3
"Pierce County","Washington",58.9,52.6,65.3
"Wahkiakum County","Washington",58.4,52.6,64.5
"Pend Oreille County","Washington",57.7,51.2,64.4
"Pacific County","Washington",57.1,50.4,64
"Stevens County","Washington",56.9,49.7,64.3
"Douglas County","Washington",56.6,49.8,63.8
"Chelan County","Washington",56.3,48.8,64
"Cowlitz County","Washington",56,50.5,61.6
"Benton County","Washington",55.8,49,62.9
"Ferry County","Washington",55.7,50.2,61.4
"Asotin County","Washington",55.5,48.7,62.4
"Columbia County","Washington",55.5,49.6,61.6
"Grays Harbor County","Washington",55.3,49.4,61.4
"Garfield County","Washington",55.2,48,62.6
"Klickitat County","Washington",54.3,47.6,61.4
"Okanogan County","Washington",53.9,47.2,60.8
"Lewis County","Washington",53.1,46.5,60
"Walla Walla County","Washington",51.7,45.3,58.2
"Yakima County","Washington",48.4,39.8,57.3
"Grant County","Washington",47.5,38.8,56.5
"Franklin County","Washington",45,35.5,54.9
"Adams County","Washington",41.6,29.9,53.7
